"manufacturer","title","handle","yourPrice","competitorLow","competitorAvg","competitorHigh","diffEur","diffPct","position","sampledShops","samples"
"Storz & Bickel","Storz & Bickel Crafty+","storz-bickel-crafty-plus","215.99","17.90","17.90","17.90","198.09","1106.6","above","1","1"
"Garden Highpro","GHP Ecopro","ghp-ecopro","87.99","8.90","8.90","8.90","79.09","888.7","above","1","1"
"AC Infinity","CONTROLLER AI+","ac-infinity-controller-ai-plus","160.99","26.99","26.99","26.99","134.00","496.5","above","1","1"
"BioBizz","TopMax 5 Liter","topmax-5-liter-biobizz","91.99","27.90","27.90","27.90","64.09","229.7","above","1","1"
"BioBizz","Alg-A-Mic 5 Liter","alg-a-mic-5-liter-biobizz","52.99","16.90","16.90","16.90","36.09","213.6","above","1","1"
"BioBizz","Bio-Bloom 5 Liter","bio-bloom-5-liter-biobizz","34.99","11.90","11.90","11.90","23.09","194.0","above","1","1"
"Dec Ducting","Aluflexschlauch Ø102mm 1 laufender Meter","aluflexschlauch-102mm-1-laufender-meter","5.49","1.90","1.90","1.90","3.59","188.9","above","1","1"
"BioBizz","FishMix 5 Liter","fishmix-5-liter-biobizz","28.99","10.90","10.90","10.90","18.09","166.0","above","1","1"
"Bloomtech","Anzuchtset klein & eco","anzuchtset-klein-eco","26.99","12.90","12.90","12.90","14.09","109.2","above","1","1"
"Dec Ducting","Aluflexschlauch Ø127mm 1 laufender Meter","aluflexschlauch-127mm-1-laufender-meter","5.49","2.90","2.90","2.90","2.59","89.3","above","1","1"
"Bio Nova","AutoFlowering-SuperMix 1Liter","bio-nova-autoflowering-supermix-1-liter","33.99","18.90","18.90","18.90","15.09","79.8","above","1","1"
"RAM","RAM Multi Clipventilator 15cm, 15W","ram-multi-clipventilator-15cm-15w","33.99","19.90","19.90","19.90","14.09","70.8","above","1","1"
"GIB","Endstopfen Ø16mm PE","endstopfen-16mm-pe-gib","0.49","0.30","0.30","0.30","0.19","63.3","above","1","1"
"GrowsArtig","Alfa Boost 250ml","alfa-boost-250ml","25.99","17.90","17.90","17.90","8.09","45.2","above","1","1"
"Dec Ducting","Aluflexschlauch Ø160mm 1 laufender Meter","aluflexschlauch-160mm-1-laufender-meter","5.49","3.90","3.90","3.90","1.59","40.8","above","1","1"
"AC Infinity","AC Infinity CLOUDRAY A6 manuell schwenkbar","ac-infinity-cloudray-a6","78.99","59.99","59.99","59.99","19.00","31.7","above","1","1"
"AC Infinity","Advance Grow Zelt-System 60x60x180","advance-grow-zelt-system-60-60-180cm","823.99","639.00","639.00","639.00","184.99","28.9","above","1","1"
"AC Infinity","AC Infinity CLOUDRAY S6 automatische Oszillation","ac-infinity-cloudray-s6","87.99","69.99","69.99","69.99","18.00","25.7","above","1","1"
"AutoPot","Matrix Disc, schwarz","matrix-disc-schwarz-autopot","0.99","0.80","0.80","0.80","0.19","23.7","above","1","1"
"AutoPot","Endstopfen Ø9mm PE","endstopfen-9mm-pe-autopot","0.49","0.40","0.40","0.40","0.09","22.5","above","1","1"
"BloomStar","Bloomstar Box M","bloomstar-box-m-80-80-180cm","117.99","99.90","99.90","99.90","18.09","18.1","above","1","1"
"BioBizz","Bio Heaven 5 Liter","bio-heaven-5-liter-biobizz","234.99","199.90","199.90","199.90","35.09","17.6","above","1","1"
"Storz & Bickel","Storz & Bickel Volcano Classic - Grün","storz-bickel-volcano-classic-gruen","289.99","249.00","249.00","249.00","40.99","16.5","above","1","1"
"Storz & Bickel","Storz & Bickel Volcano Classic - Onyx","storz-bickel-volcano-classic-onyx","289.99","249.00","249.00","249.00","40.99","16.5","above","1","1"
"Storz & Bickel","Storz & Bickel Volcano Classic - Silber","storz-bickel-volcano-classic-silber","289.99","249.00","249.00","249.00","40.99","16.5","above","1","1"
"BloomStar","Aktivkohlefilter 430m³/h 150mm","bloomstar-aktivkohlefilter-430-m-m-150-mm","68.99","59.90","59.90","59.90","9.09","15.2","above","1","1"
"AC Infinity","CLOUDFORGE T3 Luftbefeuchter 4.5L","ac-infinity-cloudforge-t3-luftbefeuchter-4-5l","91.99","79.99","79.99","79.99","12.00","15.0","above","1","1"
"AC Infinity","Advance Grow Zelt-System 60x120x180","advance-grow-zelt-system-60-120-180cm","952.99","829.00","829.00","829.00","123.99","15.0","above","1","1"
"AC Infinity","Bodenfeuchtesensor für AI+","acinfinity-bodenfeuchtsensor-fuer-ai-plus","30.99","26.99","26.99","26.99","4.00","14.8","above","1","1"
