"productId","manufacturer","title","handle","status","referencePrice","lowest","average","highest","samples","sampledShops","totalShops"
"cmkrcg93n0000u9konharrcoh","AC Infinity","Cloudlab 722","cloudlab-722-60-60-180","ok","158.99","179","179","179","1","1","1"
"cmkrdc9v5000uu9koljjrxsim","AC Infinity","Cloudlab 632","cloudlab-632-90-60-180","ok","164.99","189","189","189","1","1","1"
"cmkrdnm4c001pu9ko3f9fkpem","AC Infinity","Cloudlab 642","cloudlab-642-120-60-180","ok","184.99","219","219","219","1","1","1"
"cmkrdwki6002eu9ko75gngqv7","AC Infinity","Cloudlab 733","cloudlab-733-90-90-180","ok","187.99","219","219","219","1","1","1"
"cmkre7bdg003cu9koxcojvb06","AC Infinity","Cloudlab 844","cloudlab-844-120-120-200","ok","258.99","269","269","269","1","1","1"
"cmkrees8b0045u9ko8syfcpor","AC Infinity","Cloudlab 866","cloudlab-866-150-150-200","ok","319.99","319","319","319","1","1","1"
"cmkreme6u0051u9koqya3sd2o","AC Infinity","Cloudlab 894","cloudlab-894-240-120-200cm","no_prices_found","398.99","","","","","0","1"
"cmkrgh72r005cu9kortnl268v","BloomStar","Bloomstar Box S","bloomstar-box-s-60-60-160","ok","99.99","99.9","99.9","99.9","1","1","1"
"cmkri9dd60063u9koypwwv1ry","BloomStar","Bloomstar Box M","bloomstar-box-m-80-80-180cm","ok","117.99","99.9","99.9","99.9","1","1","1"
"cmkrihc5f006yu9ko3eztvjq4","BloomStar","Bloomstar Box RM","bloomstar-box-rm-110-60-180","ok","134.99","129.9","129.9","129.9","1","1","1"
"cmkriunfv007vu9koiynimqzs","Ferna","Growtent Pro","growtent-pro-80-80-180","ok","124.99","169.9","169.9","169.9","1","1","1"
"cmkrj57w5008du9kocgtemzch","Ferna","Growtent Pro","growtent-pro-100-100-200","ok","152.99","169.9","169.9","169.9","1","1","1"
"cmkrjbyup008pu9koau4chvat","Ferna","Growtent Pro","growtent-pro-120-120-200","ok","159.99","169.9","169.9","169.9","1","1","1"
"cmkrjluw4009au9komafms7o1","Sanlight","Homebox Ambient Q60+","homebox-ambient-q-60","ok","112.99","129.9","129.9","129.9","1","1","1"
"cmkrjvg1n009wu9kof9t41cmh","Sanlight","Homebox Ambient Q80+","homebox-ambient-q-80-plus","ok","170.99","189.9","189.9","189.9","1","1","1"
"cmkrk5xam00aqu9ko2qdpxd23","Sanlight","Homebox Ambient Q100","homebox-ambient-q-100","ok","198.99","249.9","249.9","249.9","1","1","1"
"cmksd2m58000gu9ok66d88mrr","Sanlight","Homebox Ambient Q100+","homebox-ambient-q-100-plus","ok","220.99","249.9","249.9","249.9","1","1","1"
"cmksd8rz10019u9ok25mqbmlr","Sanlight","Homebox Ambient Q120","homebox-ambient-q-120","ok","220.99","289.9","289.9","289.9","1","1","1"
"cmksdgnvs0023u9okbhxhx75t","Sanlight","Homebox Ambient R120S","homebox-ambient-r-120-s","ok","155.99","199.9","199.9","199.9","1","1","1"
"cmksdrpfa003tu9oksmilhqgu","Sanlight","Homebox Ambient Q120+","homebox-ambient-q-120-plus","ok","238.99","289.9","289.9","289.9","1","1","1"
"cmksdwiel004ku9ok332zm3lf","Sanlight","Homebox Ambient Q150+","homebox-ambient-q-150-plus","ok","288.99","309.9","309.9","309.9","1","1","1"
"cmkse0fgo0059u9okkx1e8ryf","Sanlight","Homebox Ambient R150","homebox-ambient-r-150","ok","235.99","269.9","269.9","269.9","1","1","1"
"cmksjt1y1006mu9okwnvhg7qr","DiamondBox","DiamondBox SL58","diamondbox-sl-58","ok","90.99","99.9","99.9","99.9","1","1","1"
"cmksk4xr20074u9ok8fa5r7ft","DiamondBox","DiamondBox SL60","diamondbox-sl-60","ok","81.99","79.9","79.9","79.9","1","1","1"
"cmksk8tdc007ou9oklpvle9eq","DiamondBox","DiamondBox SL70","diamondbox-sl-70","ok","98.99","99.9","99.9","99.9","1","1","1"
"cmkskgyc20086u9okld0hogaf","DiamondBox","DiamondBox SL80","diamondbox-sl-80","ok","105.99","109.9","109.9","109.9","1","1","1"
"cmkskmn4g008vu9okd1db8o0b","DiamondBox","DiamondBox SL90","diamondbox-sl-90","ok","112.99","119.9","119.9","119.9","1","1","1"
"cmkskpfb7009iu9okev3103o2","DiamondBox","DiamondBox SL100","diamondbox-sl-100","ok","123.99","109.9","109.9","109.9","1","1","1"
"cmksks5xn00a3u9okbbvcpfd9","DiamondBox","DiamondBox SL100E","diamondbox-sl-100-e","ok","99.99","109.9","109.9","109.9","1","1","1"
"cmkskuml500alu9okq1txe998","DiamondBox","DiamondBox SL110","diamondbox-sl-110","ok","123.99","139.9","139.9","139.9","1","1","1"
"cmkskzi1900b4u9okkyji6363","Garden Highpro","GHP Ecopro","ghp-ecopro","ok","87.99","8.9","8.9","8.9","1","1","1"
"cmku5aww20000u9w84m6vzgzp","BloomStar - Crescience","BloomStar FluxShield Babo 450E - 150W","bloomstar-fluxshield-babo-450e-150w","ok","183.99","199.9","199.9","199.9","1","1","1"
"cmku5nbvj0013u9w802cdio4c","BloomStar - Crescience","BloomStar FluxShield Babo 450C - 160W","bloomstar-fluxshield-babo-450c-160w","ok","227.99","249.9","249.9","249.9","1","1","1"
"cmku5un9g001wu9w8onx3tzg9","BloomStar - Crescience","BloomStar FLUXshield 300L - 100W","bloomstar-fluxshield-300l-100w","ok","140.99","159.9","159.9","159.9","1","1","1"
"cmku62f3o002qu9w88qybai1q","BloomStar - Crescience","BloomStar FLUXshield Habibi 150 - 50W Vollspektrum","bloomstar-fluxshield-habibi-150-50w-vollspektrum","ok","100.99","99.9","99.9","99.9","1","1","1"
"cmku69yoq003gu9w82et9kahs","BloomStar - Crescience","BloomStar FLUXshield 300 - 100W","bloomstar-fluxshield-300-100-w","ok","140.99","159.9","159.9","159.9","1","1","1"
"cmku6t6iz0047u9w8dzll31mq","DimLux","Dimlux Xplore 200W","dimlux-xplore-200w","ok","215.99","229","229","229","1","1","1"
"cmku7061h004xu9w82mam5ltn","AC Infinity","AC Infinity IONFRAME EVO8","ac-infinity-ionframe-evo-8","ok","955.99","989","989","989","1","1","1"
"cmku7ato2006fu9w8z5p8gq42","AC Infinity","AC Infinity IONFRAME EVO6","ac-infinity-ionframe-evo-6","ok","672.99","689","689","689","1","1","1"
"cmku7egwj007gu9w84yd08ppo","ROOT!T","LED-Leiste 26 Watt, koppelbar","led-leiste-26-watt-koppelbar","ok","44.99","44.9","44.9","44.9","1","1","1"
"cmku7kzuh0080u9w8s0oxr28r","ROOT!T","LED-Leiste 42 Watt, koppelbar","led-leiste-42-watt-koppelbar","ok","54.99","59.9","59.9","59.9","1","1","1"
"cmku7ryz2008nu9w8ymyuf1hu","SANLight","SANLight EVO 3-60 200W SET 1.5","sanlight-evo-3-60-200-w-set-1-5","ok","410.99","389.9","389.9","389.9","1","1","1"
"cmku7z5wi009cu9w853evn39h","SANLight","SANLight EVO 3-100 400W 2er SET 1.5","sanlight-evo-3-100-400-w-set-2er-1-5-copy","ok","823.99","909.9","909.9","909.9","1","1","1"
"cmku853rw00a2u9w8tdr9pz99","SANLight","SANLight EVO 4-80 265W SET 1.5","sanlight-evo-4-80-265-w-set-1-5","ok","479.99","469.9","469.9","469.9","1","1","1"
"cmku854ks00aau9w81hffex95","SANLight","SANLight EVO 4-120 530W 2er SET 1.5","sanlight-evo-4-120-530-w-set-2er-1-5","ok","975.99","1029.9","1029.9","1029.9","1","1","1"
"cmkv2rwu50001u9fgka1liy81","RAM","RAM Multi Clipventilator 15cm, 15W","ram-multi-clipventilator-15cm-15w","ok","33.99","19.9","19.9","19.9","1","1","1"
"cmkv3hdeo000mu9fg3w22wazi","AC Infinity","AC Infinity CLOUDRAY A6 manuell schwenkbar","ac-infinity-cloudray-a6","ok","78.99","59.99","59.99","59.99","1","1","1"
"cmkv3ks3q001cu9fgicgsr3jx","AC Infinity","AC Infinity CLOUDRAY S6 automatische Oszillation","ac-infinity-cloudray-s6","ok","87.99","69.99","69.99","69.99","1","1","1"
"cmkv3ogmc002fu9fg1gaqn2g2","AC Infinity","AC Infinity CLOUDRAY S9 automatische Oszillation","ac-infinity-cloudray-s9","ok","105.99","95","95","95","1","1","1"
"cmkv4ppvd0001u90kwao87kcc","RAM","RAM Luftentfeuchter 12 L/Tag","ram-luftentfeuchter-12l-tag","ok","172.99","219","219","219","1","1","1"
"cmkv4srd5000su90k455rx6g3","RAM","RAM Luftentfeuchter 20 L/Tag","ram-luftentfeuchter-20l-tag","ok","203.99","229","229","229","1","1","1"
"cmkv50rw90020u90kwdilmq85","AC Infinity","CLOUDFORGE T3 Luftbefeuchter 4.5L","ac-infinity-cloudforge-t3-luftbefeuchter-4-5l","ok","91.99","79.99","79.99","79.99","1","1","1"
